common_name	scientific_name	uk_status	order	uk_cetacea
Bowhead whale	Balaena mysticetus	2 records (live)	Artiodactyla	GB
North Atlantic right whale	Eubalaena glacialis	Vagrant	Artiodactyla	GB
Humpback whale	Megaptera novaeangliae	Rare	Artiodactyla	GB
Minke whale	Balaenoptera acutorostrata	Common	Artiodactyla	GB
Sei whale	Balaenoptera borealis	Rare (off shelf)	Artiodactyla	GB
Blue whale	Balaenoptera musculus	Rare (off shelf)	Artiodactyla	GB
Fin whale	Balaenoptera physalus	Regular (off shelf)	Artiodactyla	GB
Long-finned pilot whale	Globicephala melas	Common (off shelf)	Artiodactyla	GB
Risso's dolphin	Grampus griseus	Regular	Artiodactyla	GB
Fraser's dolphin	Lagenodelphis hosei	1 record (dead)	Artiodactyla	GB
Atlantic white-sided dolphin	Lagenorhynchus albirostris	Common (off shelf)	Artiodactyla	GB
White-beaked dolphin	Lagenorhynchus albirostris	Common	Artiodactyla	GB
Killer whale	Orcinus orca	Regular	Artiodactyla	GB
Melon-headed whale	Peponocephala electra	1 record (dead)	Artiodactyla	GB
False killer whale	Pseudorca crassidens	Vagrant	Artiodactyla	GB
Common dolphin	Delphinus delphis	Common	Artiodactyla	GB
Striped dolphin	Stenella coeruleoalba	Rare (off shelf)	Artiodactyla	GB
Bottlenose dolphin	Tursiops truncatus	Common	Artiodactyla	GB
Beluga	Delphinapterus leucas	Vagrant	Artiodactyla	GB
Narwhal	Monodon monoceros	Vagrant	Artiodactyla	GB
Harbour porpoise	Phocoena phocoena	Common	Artiodactyla	GB
Pygmy sperm whale	Kogia breviceps	Vagrant	Artiodactyla	GB
Dwarf sperm whale	Kogia sima	1 record (live)	Artiodactyla	GB
Sperm whale	Physeter macrocephalus	Regular (off shelf)	Artiodactyla	GB
Northern bottlenose whale	Hyperoodon ampullatus	Regular (off shelf)	Artiodactyla	GB
Gervais' beaked whale	Mesoplodon europaeus	1 record (dead)	Artiodactyla	GB
Sowerby's beaked whale	Mesoplodon bidens	Rare (off shelf)	Artiodactyla	GB
True's beaked whale	Mesoplodon mirus	1 record (dead)	Artiodactyla	GB
Common dolphin	Delphinus delphis		Artiodactyla	GB
Bottlenose dolphin	Tursiops truncates		Artiodactyla	GB
Risso's dolphin	Grampus griseus		Artiodactyla	GB
White-beaked dolphin	Lagenorhynchus albirostris		Artiodactyla	GB
Killer whale or orca	Orcinus orca		Artiodactyla	GB
Striped dolphin	Stenella coeruleoalba		Artiodactyla	GB
Harbour Porpoise	Phocoena phocoena		Artiodactyla	GB
Minke whale	Balaenoptera acutorostrata		Artiodactyla	GB
Fin whale	Balaenoptera physalus		Artiodactyla	GB
Long finned pilot whale	Globicephala melas		Artiodactyla	GB
Sperm whale	Physeter macrocephalus		Artiodactyla	GB
Humpback whale	Megaptera novaeangliae		Artiodactyla	GB
Northern bottlenose whale	Hyperoodon ampullatus		Artiodactyla	GB
Cuvier's beaked whale	Ziphius cavirostris		Artiodactyla	GB
Sowerby's beaked whale	Mesoplodon bidens		Artiodactyla	GB
